Random,Name,Date,Location,Total Hours,Billable Hours,Clients Assigned,Clients Seen 
64,Rueben Maxfield  ,4/6/2020,Location A,8.00,5,1,1
91,Bobbie Cannella  ,1/24/2020,Location D,7.00,7,4,3
10,Bobbie Cannella  ,1/4/2020,Location D,0.00,0,1,1
37,Khalilah Gratz  ,1/29/2020,Location A,4.00,1,3,3
73,Alvina Brazee  ,2/7/2020,Location B,4.00,2,5,1
59,Alvina Brazee  ,1/28/2020,Location D,6.00,1,4,2
42,Frederica Tope  ,2/21/2020,Location D,7.00,0,4,4
75,Dorine Varnell  ,2/15/2020,Location B,4.00,0,2,1
30,Frederica Tope  ,4/1/2020,Location D,4.00,4,5,4
19,Frederica Tope  ,2/1/2020,Location D,4.00,2,1,1
77,Khalilah Gratz  ,1/9/2020,Location A,8.00,1,5,1
81,Rueben Maxfield  ,1/7/2020,Location C,2.00,2,2,1
11,Bobbie Cannella  ,1/24/2020,Location D,6.00,4,2,2
78,Archie Mobley  ,1/15/2020,Location C,3.00,3,4,3
39,Dorine Varnell  ,4/5/2020,Location D,4.00,4,3,2
25,Felica Pajak  ,1/1/2020,Location A,5.00,1,5,4
30,Dorine Varnell  ,3/26/2020,Location B,7.00,5,5,2
84,Bobbie Cannella  ,2/23/2020,Location B,4.00,4,2,2
39,Khalilah Gratz  ,3/19/2020,Location C,4.00,4,4,1
85,Carolina Golla  ,4/9/2020,Location D,7.00,2,5,1
48,Carolina Golla  ,1/10/2020,Location B,3.00,1,3,1
63,Mariano Defibaugh  ,1/13/2020,Location A,8.00,2,4,4
96,Frederica Tope  ,4/1/2020,Location D,1.00,0,4,4
62,Rueben Maxfield  ,2/26/2020,Location A,5.00,5,5,4
80,Mariano Defibaugh  ,2/22/2020,Location A,1.00,0,4,1
96,Rueben Maxfield  ,3/17/2020,Location A,4.00,1,4,4
8,Felica Pajak  ,2/20/2020,Location C,8.00,7,1,1
71,Archie Mobley  ,4/4/2020,Location C,6.00,1,3,1
55,Dorine Varnell  ,2/25/2020,Location D,0.00,0,4,1
53,Alvina Brazee  ,1/8/2020,Location D,6.00,4,2,2
23,Archie Mobley  ,2/14/2020,Location A,7.00,0,2,2
94,Khalilah Gratz  ,3/29/2020,Location A,3.00,3,2,2
21,Alvina Brazee  ,2/27/2020,Location B,3.00,3,2,1
74,Carolina Golla  ,3/20/2020,Location D,1.00,0,4,4
50,Bobbie Cannella  ,4/3/2020,Location B,6.00,6,3,3
57,Carolina Golla  ,3/10/2020,Location B,7.00,0,5,2
30,Bobbie Cannella  ,2/23/2020,Location B,7.00,4,5,4
28,Mariano Defibaugh  ,4/2/2020,Location A,6.00,6,3,2
42,Frederica Tope  ,3/12/2020,Location D,8.00,0,1,1
62,Carolina Golla  ,3/20/2020,Location D,5.00,4,3,2
18,Carolina Golla  ,3/20/2020,Location D,5.00,0,2,2
84,Dorine Varnell  ,4/5/2020,Location D,4.00,2,4,2
22,Dorine Varnell  ,1/16/2020,Location D,3.00,0,4,2
96,Frederica Tope  ,3/2/2020,Location B,8.00,3,1,1
24,Carolina Golla  ,3/10/2020,Location B,3.00,1,1,1
53,Mariano Defibaugh  ,3/3/2020,Location C,8.00,0,5,5
95,Dorine Varnell  ,2/5/2020,Location D,5.00,3,2,1
2,Rueben Maxfield  ,3/27/2020,Location C,4.00,4,2,2
99,Khalilah Gratz  ,1/29/2020,Location A,6.00,1,3,3
79,Archie Mobley  ,2/4/2020,Location C,5.00,5,1,1
53,Carolina Golla  ,3/30/2020,Location B,2.00,1,5,5
23,Carolina Golla  ,3/10/2020,Location B,6.00,6,1,1
50,Rueben Maxfield  ,1/27/2020,Location C,2.00,2,4,2
92,Khalilah Gratz  ,1/9/2020,Location A,1.00,1,3,1
19,Archie Mobley  ,4/4/2020,Location C,0.00,0,3,3
69,Alvina Brazee  ,2/7/2020,Location B,4.00,0,3,2
